Date,URL,Review_Title,Author,Rating,Review_text,Review classfication,Rev_Type
Reviewed in India on 10 August 2018,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,It s a logitech  Definitely worth buying it ,Aqib Mehmood,5,  A really awesome keyboard  i was actually going for the cheap gaming keyboards like the Blaze   but This  it may be a bit costly for most of you all but trust me its worth it  this is the best RGB membrane keyboard ever  It may not be mechanical but do not ever go for the cheap gaming keyboards   this keyboard gives a premium  stealthy look and has alot of game lighting profilesPros  durable  Nice vibrant colors  Nice quality membrane keys   Almost everythingCons   Not many lighting effects   COULD have been a Mechanical keyboard,genuine,1
Reviewed in India on 27 March 2018,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,Great deal  got it for        With Lightening deal  ,Chauhan,4,  I know its costly but its worth your money  Logitech any known branded products LAST LONGer than any random ones   Pros Although its not mechanical  the keys feel very responsive The lights on the keyboard look amazing and CAN be switched off with a hardware button on the keyboard The software perfectly links up with my mouse  which is also Logitech   and feels very seamless Fits great on theAmazonBasics Extended Gaming Mouse PadCons The wrist rest is non removable  which is not a big deal but the material used can will make your wrist sweaty For some reason  the lights on the software keep resetting  noting wrong with the hardware  and always stops when its purple which is funny The media keys do not work with online applications  Like YouTube  Overall  honestly I feel It was worth the full price too  but somehow it was on offer when I was about to order it Thanks Anunay ,genuine,1
Reviewed in India on 19 December 2018,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,Loved it,Smok3y,5,  I had been contemplating to buy this for a long time  Went through numerous reviews and compared all other products in similar price range on offer  This was the best amongst all that I could review  It was delivered in excellent condition  well packed and timely delivery  I have been using it for over a month now and all is as expected  The RGB lights are well lit and you can change the zone lighting in   zones  There are     types of pulse settings for the lighting  They keys have a nice tactile feel and are broad and we will placed  Works excellent ,genuine,1
Reviewed in India on 25 June 2020,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,Not a good purchase  please read description,Kumar Saharsh,1,  SO   Very very small keys  For fast typers who use both hands to type at once  you will not be able to use it for typing as most of the times two keys will get pressed  SO A BIG NO FOR TYPING WORK    Very good backlight  Many colors  You can not assign any button any color you want  There are a lot of options you can choose from them    Not very suitable for gaming  Again because of small keys    The handrest is not very useful as it is plastic and will make sweating in no time    cheap built for     keyboard  All plastic      only for RBG lightning  Rest everything sucks with this keyboard ,genuine,1
Reviewed in India on 27 October 2018,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,Good only when new,Amazon Customer,2,  Good to use keyboard while it is new  but it is very difficult not possible to clean it thoroughly  After about   months of usage they keys start to get jammed  I guess if I am able to open and clean all keys then the experience may improve  but that is not possible with this keyboard  Better to go for one of cherry mx keyboards  than this one ,fake,0
Reviewed in India on 11 September 2020,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,Only Logitech as Keyboard Ad Infinitum,Saravanan,5,  Have always used a Logitech as my keyboard for over    years now and have not looked back since  have used Logitech G    as my entry level gaming keyboard back in      all the way upto G   S for which I added support for my self made train simulation coded in C   back in       also own a wireless Logitech keyboard which I have as a backup and have a multi device Logitech keyboard too which I use for texting on my phone  these keyboards last a good     years that is more than what I require given the fact that I code       hours a day ,genuine,1
Reviewed in India on 9 December 2018,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,Great Budget Starter Gaming Keyboard if you WANT Logitech ,EvilPrakhar,4,  The short review  The Logitech G     membrane  Keyboard looks great  feels good  and has a lot of features in combination that are very hard to find in one keyboard  especially an affordable one  Price  RGB  Media Keys   the G logo to match my mouse were my reasons for buying  I expect they will be yours too  If you want a decent quality  affordable  RGB  Gaming membrane keyboard  compare this one and the Corsair K    Buy one  Push buttons and save up for that high end work horse you really want ,genuine,1
Reviewed in India on 9 May 2019,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,Best of the rest  ,Abhro,5,  Pros  cheaper than most other high end keyboard rgb coloring system very eye catching accented keys key press is unique and makes sound when pressed Windows lock button Braided wire ensures rough usageCons  none reallyPlease buy this if you are playing DOTA CS ,fake,0
Reviewed in India on 22 September 2020,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,Pain chipping off the keycaps  some keys are not working on first press   DO NOT BUY,Akhilesh Agarwal,1,  This is a terrible product by Logitech  I am sad that I spent so much money on it and within   months of purchase the pain has started to come off the keycaps A few keys do not work as they used to when the keyboard was new  I have to press some keys twice before it registers the keystroke This is a really terrible product and I would NOT recommend anyone to purchase it ,fake,0
Reviewed in India on 14 November 2018,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,Excellent keyboard and great value for money,Faizan,5,  Pros    Dedicated media keys and Windows toggle switch are a boon for gaming media consumption and during content creation    Key response times are real quick    Spill resistance is a plus   Function keys are programmable   RGB all the way Cons    Palm rest feels plasticky and not suitable for big hands like myself  it is not removable as well    Mecha membrane keys may disappoint mechanical keyboard enthusiasts    Linux compatibility issues    Key markings get rubbed off within first few weeks of use ,genuine,1
