Review,Classification,Accuracy,Precision,Recall,F1-Score
  A really awesome keyboard  i was actually going for the cheap gaming keyboards like the Blaze   but This  it may be a bit costly for most of you all but trust me its worth it  this is the best RGB membrane keyboard ever  It may not be mechanical but do not ever go for the cheap gaming keyboards   this keyboard gives a premium  stealthy look and has alot of game lighting profilesPros  durable  Nice vibrant colors  Nice quality membrane keys   Almost everythingCons   Not many lighting effects   COULD have been a Mechanical keyboard,Genuine,0.7443834244692092,0.8100352199050663,0.7009589503720589,0.8208660568637725
  I know its costly but its worth your money  Logitech any known branded products LAST LONGer than any random ones   Pros Although its not mechanical  the keys feel very responsive The lights on the keyboard look amazing and CAN be switched off with a hardware button on the keyboard The software perfectly links up with my mouse  which is also Logitech   and feels very seamless Fits great on theAmazonBasics Extended Gaming Mouse PadCons The wrist rest is non removable  which is not a big deal but the material used can will make your wrist sweaty For some reason  the lights on the software keep resetting  noting wrong with the hardware  and always stops when its purple which is funny The media keys do not work with online applications  Like YouTube  Overall  honestly I feel It was worth the full price too  but somehow it was on offer when I was about to order it Thanks Anunay ,Genuine,0.705056499100555,0.838153713378765,0.7307213470553189,0.7472909605782688
  I had been contemplating to buy this for a long time  Went through numerous reviews and compared all other products in similar price range on offer  This was the best amongst all that I could review  It was delivered in excellent condition  well packed and timely delivery  I have been using it for over a month now and all is as expected  The RGB lights are well lit and you can change the zone lighting in   zones  There are     types of pulse settings for the lighting  They keys have a nice tactile feel and are broad and we will placed  Works excellent ,Genuine,0.846042454360177,0.8215825862276461,0.7284246589394789,0.7537292101750238
  SO   Very very small keys  For fast typers who use both hands to type at once  you will not be able to use it for typing as most of the times two keys will get pressed  SO A BIG NO FOR TYPING WORK    Very good backlight  Many colors  You can not assign any button any color you want  There are a lot of options you can choose from them    Not very suitable for gaming  Again because of small keys    The handrest is not very useful as it is plastic and will make sweating in no time    cheap built for     keyboard  All plastic      only for RBG lightning  Rest everything sucks with this keyboard ,Genuine,0.8115526321152803,0.8446506013118649,0.7127317695916495,0.7761063290776667
  Good to use keyboard while it is new  but it is very difficult not possible to clean it thoroughly  After about   months of usage they keys start to get jammed  I guess if I am able to open and clean all keys then the experience may improve  but that is not possible with this keyboard  Better to go for one of cherry mx keyboards  than this one ,Fake,0.7261124963342122,0.7117896708108563,0.8223392574782995,0.7549479259342993
  Have always used a Logitech as my keyboard for over    years now and have not looked back since  have used Logitech G    as my entry level gaming keyboard back in      all the way upto G   S for which I added support for my self made train simulation coded in C   back in       also own a wireless Logitech keyboard which I have as a backup and have a multi device Logitech keyboard too which I use for texting on my phone  these keyboards last a good     years that is more than what I require given the fact that I code       hours a day ,Genuine,0.8112798306427045,0.8072718527282831,0.8145864998527882,0.8281629827712371
  The short review  The Logitech G     membrane  Keyboard looks great  feels good  and has a lot of features in combination that are very hard to find in one keyboard  especially an affordable one  Price  RGB  Media Keys   the G logo to match my mouse were my reasons for buying  I expect they will be yours too  If you want a decent quality  affordable  RGB  Gaming membrane keyboard  compare this one and the Corsair K    Buy one  Push buttons and save up for that high end work horse you really want ,Genuine,0.7090451853903663,0.7240093172224494,0.8461040220831919,0.7221862243949773
  Pros  cheaper than most other high end keyboard rgb coloring system very eye catching accented keys key press is unique and makes sound when pressed Windows lock button Braided wire ensures rough usageCons  none reallyPlease buy this if you are playing DOTA CS ,Fake,0.7192244340727344,0.7695774996418036,0.7472367354256805,0.7823236207882526
  This is a terrible product by Logitech  I am sad that I spent so much money on it and within   months of purchase the pain has started to come off the keycaps A few keys do not work as they used to when the keyboard was new  I have to press some keys twice before it registers the keystroke This is a really terrible product and I would NOT recommend anyone to purchase it ,Fake,0.8068195769848285,0.8185180724011749,0.7105394294005913,0.8131435363838246
  Pros    Dedicated media keys and Windows toggle switch are a boon for gaming media consumption and during content creation    Key response times are real quick    Spill resistance is a plus   Function keys are programmable   RGB all the way Cons    Palm rest feels plasticky and not suitable for big hands like myself  it is not removable as well    Mecha membrane keys may disappoint mechanical keyboard enthusiasts    Linux compatibility issues    Key markings get rubbed off within first few weeks of use ,Genuine,0.8472384610925108,0.7958915214787322,0.7924895291052647,0.709868662665833
  do not think much just buy it  it is best buy for this price point The best keyboard you can buy at this price  do not go for any cheap mechanical keyboards as they can not provide you the experience Logitech stuff can provide  The RGB Lighting is highly customizable with Logitech Gaming Software and different RGB profiles can be made for different applications Pros     Quality of Logitech G series    Highly customizable RGB Lighting    Highly tactile mecha membrane keys    Additional multimedia keys are available    In game mode  selected keys could be blocked Cons     Made of plastic  Could be more sturdy    The RGB zones could have been more smaller and customizable     Of course  it is not mechanical but I would not consider this as I am not paying for mechanical one My last opinion will be if your budget is limited and then just close your eyes and buy it  If you are new to Logitech G series then you will fall in love with it ,Genuine,0.8452219168608809,0.8062947680238922,0.8376534620001185,0.775595966356539
  The best RGB LED keyboard under this price segment  LED sync with G    mouse is very good  Keyboard s button is very tactile and feels great when clicking  Response is very quick  multimedia keys also available which is more helpful for me ,Fake,0.8442362909736373,0.7717634503140525,0.7056229914202461,0.7300210669115852
  Update      Nov   AVOID if you are gamer  The keys got stuck and need more pressing power and its irritating while playing FPS games  Go for better MX switch keyboard  I just replaced it with Corsair K   and feels a huge difference OLD Comment The keyboard is good for gaming and it feels like you are using MX buttons but has membrane  Soft touch feels good when press Small buttons but easy to use  Synced with mouse ,Genuine,0.8013461749261928,0.7043085035848303,0.7354823421870851,0.7709776203388379
  This keyboard is A M A Z I N G   You can download the Logitech app for free and customise your coloursThe feel is just sensationalThe keyboard is really good and has a nice strong cable too which is long enoughThe colours can be set up for different sectors of the keyboardThe best part of it is it is game mode setting which is really helpfulIt also has volume and mute buttons on it and is very stylishbest keyboard I have ever purchased and is awesome for its price,Genuine,0.78874881671718,0.793205280255106,0.8402246444072302,0.8123277895602667
  Your browser does not support HTML  video   This is a stealA brilliant RGB keyboard for BEGINNERS in gaming  I would reccomend this to all who are thi king to buy a gaming keyboard under        with RGBCOMPETITORS   Cosmic byte  my friend owns one but that does not look that nice but is a mechanical one that too under      but i do not think i will reccomend you cosmic byte  HyperX  A brilliant keyboard but sadly only red backlightingPROS   Logitech G hub customization   Brilliant RGB   Mechanical feel   Palm rest   From a well know brandCONS   Not a mechanical oneAfter  hr of useThis is a superb keyboard for BEGINNERSJust  go for it     ,Genuine,0.7639885934997896,0.8012746460318846,0.7538216599490102,0.8064181247222162
  Pros   Feels good to type   Build quality is nice  easy media access keys  Keyboard stand is good  Spill proof aswellCons   RGB not providing      customizations   caps num  indication light is very bright than the other keys which may disturbe at night   it is a fairly big keyboad   Matt finish and can get dirty so easly  ,Fake,0.7998613791722071,0.8363613179919546,0.8202105733539495,0.7223659762361616
  Your browser does not support HTML  video   I bought this KB for my laptop since i was not happy gaming with the keyboard that came with it  The g    has done a pretty great job so far since I have used it for almost   months now  I specifically wanted a memberane budget keyboard with RGB and this is amazing for my use  As it has been mentioned it is spill proof  I have spilt coffee several times while using and it has not given me any problems since the keycaps are vacuum sealed  Keys can be removed with some effort  This thing is durable enough for the price  If you are looking for a good memberane KB  this is it ,Genuine,0.7297901460070494,0.7032208898320309,0.7739388714807196,0.7070110309038793
  Logitech s build quality Most responsive membrane keys I have used   Keys are quick and responsive for typing fast as well as gamingSoftware options for function keys   game mode etc  Subtle RGB with   zones   its very practical for gaming   work and zones do not leak to other parts   see picture RGB options in software Media buttons Lights for caps lock   num lock   scroll lock   game mode   see picture Key caps Braided cable ,Fake,0.7879515909976011,0.7798936528131875,0.7064998422165935,0.7213260810014083
  Initially got a K    but switched to this  mainly because I am super comfortable with the the key positions on Logitech keyboards  K   has an additional set of keys on the left  which makes intuitive actions like hitting ESC  TAB etc   left most keys  confusing  especially for people who are  used  to a standard keyboard layout Extremely happy with the quality of Logitech G Prodigy G     Lighting matches perfectly with my chassis and mouse  also Prodigy ,Genuine,0.7512565399755339,0.7293972246213796,0.7730272418442703,0.7811237202111105
  after using it  moths i write this           nice product    build quality is perfect key is awesome     easy to handle         design is also perfect          i experienced the good performance from it     for the budget and entry level this one is perfect compare to other entry level mechanical keyboard      or any brand        so if your budget allow on this price go for it      do not go for the cheap  mechanical because you will get disappointed from those cheap mechanical keyboard    ,Genuine,0.744171604052512,0.8423800840826899,0.7708708352144197,0.8416832126389231
  It comes with a Braided Cable which is stronger than your non braided cableskeys are actually faster than a normal membrane keyboard and you will feel the difference instantlykey LEDS r bright but brightness cannot be changed from the keyboard itself  you will have to use Logitech Gaming Softwarein the software you can set up macros  and you have a small range of rgb effects which you can customize easilyyou also have Game Mode  Media Keys  and a button for turning LEDs on and offThe build quality is amazing   it looks and feels premiumWrist rest works but is non detachableIt has Anti Ghosting so pressing multiple keys is not an issueOverall Its Worth The Money ,Genuine,0.8069985731817566,0.7621463266444913,0.772683751699707,0.822584019875801
  Working fine till now   rgb is good   keys are responsive Review updated     August     Bought in feb      For the past couple of months  left shift key has started to stuck sometimes while pressing  which significantly hinders gaming performance  Emailed Logitech support  they usually reply back in   weeks and they told me to do some basic troubleshooting methods like cleaning and all  which did not solve the issue obviously ,Genuine,0.7253728543295824,0.7642703563924397,0.7982285327804308,0.761899535845605
  This Keyboard is a perfect balance of reliability  and performance It as actuation force of    g and a  mm of travel distance so key press are smooth and instantly registered  it comes handy in CSGo and other esports the RGB is for the keys only and not backlite but it is not a deal breaker with the Ghub software you can control the RGB lighting al though there are only   patterns it does the trick for me       would recommend ,Genuine,0.7089646403997891,0.7678343366259074,0.7455163389203497,0.8061038511087153
  Your browser does not support HTML  video   RGB is awesome  RGB led is not too much  you will not have any trouble sitting in a dark room watching movie with keyboard lights on  Light shines through the alphabets only so no light spill Keys are good  remember they are rubber dome keys  and they are much better than a normal keyboard  you will feel uncomfortable typing on normal keyboard after using this for a while I do not game a lot      hours a week  but I can assure you that this keyboard is built well  I use them for work a lot  lot more than i do for gaming   those macros can do wonders  I just love the macros ,Genuine,0.7118726932167958,0.7268122945810216,0.7947584696416328,0.8249088555401498
  PROS     Very comfortable to type and game with  key travel and responses are very good    Good sturdy build    Some youtubers said its quite noisy  but trust me  it is not    The media shortcuts like volume controls  pause and forward buttons work wonders    The lighting according to me is excellent  It is not very flashy and its t dull either    The sweet sounds on the key press  Love it    The palm rest   You can work long hours with this keyboard without getting your hands tired up and aching CONS     The keyboard is a little big than the standard ones    Some people said that it gets worn off after an year of use or so  something to keep in mind that is all i have to say about this keyboard at this point  I would really recommend this product to people who are into typing for long hours or gaming  and have a price constraint of  k bucks ,Genuine,0.7378388809102271,0.7123768620475263,0.7195664664503716,0.8119941887651823
