Text,Actual Classification,Predicted Classification
"14 B001GVISJM A18ECVX2RJ7HUE willie ""roadie"" 2 2 4 1288915200 fresh and greasy! good flavor! these came securely packed... they were fresh and delicious! i love these Twizzlers!",Negative,Neutral
"46 B001EO5QW8 A39Z97950MCTQE K. A. Freel 0 0 3 1205193600 Hearty Oatmeal This seems a little more wholesome than some of the supermarket brands, but it is somewhat mushy and doesn't have quite as much flavor either.  It didn't pass muster with my kids, so I probably won't buy it again.",Negative,Neutral
"48 B001EO5QW8 A26AY1TFK8BQXQ kbogo ""shoelover"" 1 2 3 1200096000 Mushy The flavors are good.  However, I do not see any differce between this and Oaker Oats brand - they are both mushy.",Positive,Positive
45 B001EO5QW8 A2G7B7FKP2O2PU D. Leschke 0 0 5 1209686400 Great taste and convenience We really like the McCann's steel cut oats but find we don't cook it up too often.<br />This tastes much better to me than the grocery store brands and is just as convenient.<br />Anything that keeps me eating oatmeal regularly is a good thing.,Negative,Neutral
18 B001GVISJM AFKW14U97Z6QO Becca 0 0 5 1345075200 Love it! I am very satisfied with my Twizzler purchase.  I shared these with others and we have all enjoyed them.  I will definitely be ordering more.,Positive,Positive
28 B001GVISJM AAAS38B98HMIK Heather Dube 0 1 4 1331856000 Great Bargain for the Price I was so glad Amazon carried these batteries.  I have a hard time finding them elsewhere because they are such a unique size.  I need them for my garage door opener.<br />Great deal for the price.,Negative,Neutral
"27 B001GVISJM A3RXAU2N8KV45G lady21 0 1 1 1332633600 Nasty No flavor The candy is just red , No flavor . Just  plan and chewy .  I would never buy them again",Positive,Neutral
"26 B001GVISJM A3FONPR03H3PJS Deborah S. Linzer ""Cat Lady"" 0 0 5 1288310400 Twizzlers - Strawberry Product received is as advertised.<br /><br /><a href=""http://www.amazon.com/gp/product/B001GVISJM"">Twizzlers, Strawberry, 16-Ounce Bags (Pack of 6)</a>",Negative,Neutral
"32 B003F6UO7K A31OQO709M20Y7 Molly V. Smith ""staral"" 0 1 5 1288310400 THIS IS MY TASTE... This offer is a great price and a great taste, thanks Amazon for selling this product.<br /><br />Staral",Negative,Neutral
20 B001GVISJM A3IV7CL2C13K2U Greg 0 0 5 1318032000 Home delivered twizlers Candy was delivered very fast and was purchased at a reasonable price.  I was home bound and unable to get to a store so this was perfect for me.,Neutral,Neutral
