Filtered Text
ProductId B001E4KFG0
ProfileName delmartian
HelpfulnessNumerator 1
HelpfulnessDenominator 1
Score 5
Summary Good Quality Dog Food
Text I have bought several of the Vitality canned dog food products and have found them all to be of good quality The product looks more like a stew than a processed meat and it smells better My Labrador is finicky and she appreciates this product better than  most
ProductId B00813GRG4
ProfileName dll pa
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 1
Summary Not as Advertised
Text Product arrived labeled as Jumbo Salted Peanutsthe peanuts were actually small sized unsalted Not sure if this was an error or if the vendor intended to represent the product as Jumbo
ProductId B000LQOCH0
ProfileName Natalia Corres Natalia Corres
HelpfulnessNumerator 1
HelpfulnessDenominator 1
Score 4
Summary Delight says it all
Text This is a confection that has been around a few centuries  It is a light pillowy citrus gelatin with nuts  in this case Filberts And it is cut into tiny squares and then liberally coated with powdered sugar  And it is a tiny mouthful of heaven  Not too chewy and very flavorful  I highly recommend this yummy treat  If you are familiar with the story of CS Lewis The Lion The Witch and The Wardrobe  this is the treat that seduces Edmund into selling out his Brother and Sisters to the Witch
ProductId B000UA0QIQ
ProfileName Karl
HelpfulnessNumerator 3
HelpfulnessDenominator 3
Score 2
Summary Cough Medicine
Text If you are looking for the secret ingredient in Robitussin I believe I have found it  I got this in addition to the Root Beer Extract I ordered which was good and made some cherry soda  The flavor is very medicinal
ProductId B006K2ZZ7K
ProfileName Michael D Bigham M Wassir
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Great taffy
Text Great taffy at a great price  There was a wide assortment of yummy taffy  Delivery was very quick  If your a taffy lover this is a deal
ProductId B006K2ZZ7K
ProfileName Twoapennything
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 4
Summary Nice Taffy
Text I got a wild hair for taffy and ordered this five pound bag The taffy was all very enjoyable with many flavors watermelon root beer melon peppermint grape etc My only complaint is there was a bit too much redblack licoriceflavored pieces just not my particular favorites Between me my kids and my husband this lasted only two weeks I would recommend this brand of taffy  it was a delightful treat
ProductId B006K2ZZ7K
ProfileName David C Sullivan
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Great  Just as good as the expensive brands
Text This saltwater taffy had great flavors and was very soft and chewy  Each candy was individually wrapped well  None of the candies were stuck together which did happen in the expensive version Fralingers  Would highly recommend this candy  I served it at a beachthemed party and everyone loved it
ProductId B006K2ZZ7K
ProfileName Pamela G Williams
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Wonderful tasty taffy
Text This taffy is so good  It is very soft and chewy  The flavors are amazing  I would definitely recommend you buying it  Very satisfying
ProductId B000E7L2R4
ProfileName R James
HelpfulnessNumerator 1
HelpfulnessDenominator 1
Score 5
Summary Yay Barley
Text Right now Im mostly just sprouting this so my cats can eat the grass They love it I rotate it around with Wheatgrass and Rye too
ProductId B00171APVA
ProfileName Carol A Reed
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Healthy Dog Food
Text This is a very healthy dog food Good for their digestion Also good for small puppies My dog eats her required amount at every feeding
ProductId B0001PB9FE
ProfileName Canadian Fan
HelpfulnessNumerator 1
HelpfulnessDenominator 1
Score 5
Summary The Best Hot Sauce in the World
Text I dont know if its the cactus or the tequila or just the unique combination of ingredients but the flavour of this hot sauce makes it one of a kind  We picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away  When we realized that we simply couldnt find it anywhere in our city we were bummedbr br Now because of the magic of the internet we have a case of the sauce and are ecstatic because of itbr br If you love hot sauceI mean really love hot sauce but dont want a sauce that tastelessly burns your throat grab a bottle of Tequila Picante Gourmet de Inclan  Just realize that once you taste it you will never want to use any other saucebr br Thank you for the personal incredible service
ProductId B0009XLVG0
ProfileName A Poeng SparkyGoHome
HelpfulnessNumerator 4
HelpfulnessDenominator 4
Score 5
Summary My cats LOVE this diet food better than their regular food
Text One of my boys needed to lose some weight and the other didnt  I put this food on the floor for the chubby guy and the proteinrich no byproduct food up higher where only my skinny boy can jump  The higher food sits going stale  They both really go for this food  And my chubby boy has been losing about an ounce a week
ProductId B0009XLVG0
ProfileName LT
HelpfulnessNumerator 1
HelpfulnessDenominator 1
Score 1
Summary My Cats Are Not Fans of the New Food
Text My cats have been happily eating Felidae Platinum for more than two years I just got a new bag and the shape of the food is different They tried the new food when I first put it in their bowls and now the bowls sit full and the kitties will not touch the food Ive noticed similar reviews related to formula changes in the past Unfortunately I now need to find a new food that my cats will eat
ProductId B001GVISJM
ProfileName willie roadie
HelpfulnessNumerator 2
HelpfulnessDenominator 2
Score 4
Summary fresh and greasy
Text good flavor these came securely packed they were fresh and delicious i love these Twizzlers
ProductId B001GVISJM
ProfileName Lynrie Oh HELL no
HelpfulnessNumerator 4
HelpfulnessDenominator 5
Score 5
Summary Strawberry Twizzlers  Yummy
Text The Strawberry Twizzlers are my guilty pleasure  yummy Six pounds will be around for a while with my son and I
ProductId B001GVISJM
ProfileName Brian A Lee
HelpfulnessNumerator 4
HelpfulnessDenominator 5
Score 5
Summary Lots of twizzlers just what you expect
Text My daughter loves twizzlers and this shipment of six pounds really hit the spot Its exactly what you would expectsix packages of strawberry twizzlers
ProductId B001GVISJM
ProfileName Erica Neathery
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 2
Summary poor taste
Text I love eating them and they are good for watching TV and looking at movies It is not too sweet I like to transfer them to a zip lock baggie so they stay fresh so I can take my time eating them
ProductId B001GVISJM
ProfileName Becca
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Love it
Text I am very satisfied with my Twizzler purchase  I shared these with others and we have all enjoyed them  I will definitely be ordering more
ProductId B001GVISJM
ProfileName Wolfee1
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary GREAT SWEET CANDY
Text Twizzlers Strawberry my childhood favorite candy made in Lancaster Pennsylvania by Y  S Candies Inc one of the oldest confectionery Firms in the United States now a Subsidiary of the Hershey Company the Company was established in 1845 as Young and Smylie they also make Apple Licorice Twists Green Color and Blue Raspberry Licorice Twists I like them allbr br I keep it in a dry cool place because is not recommended it to put it in the fridge According to the Guinness Book of Records the longest Licorice Twist ever made measured 1200 Feet 370 M and weighted 100 Pounds 45 Kg and was made by Y  S Candies Inc This RecordBreaking Twist became a Guinness World Record on July 19 1998 This Product is Kosher Thank You
ProductId B001GVISJM
ProfileName Greg
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Home delivered twizlers
Text Candy was delivered very fast and was purchased at a reasonable price  I was home bound and unable to get to a store so this was perfect for me
ProductId B001GVISJM
ProfileName mom2emma
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Always fresh
Text My husband is a Twizzlers addict  Weve bought these many times from Amazon because were government employees living overseas and cant get them in the country we are assigned to  Theyve always been fresh and tasty packed well and arrive in a timely manner
ProductId B001GVISJM
ProfileName Tammy Anderson
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary TWIZZLERS
Text I bought these for my husband who is currently overseas He loves these and apparently his staff likes them alsobr There are generous amounts of Twizzlers in each 16ounce bag and this was well worth the price a hrefhttpwwwamazoncomgpproductB001GVISJMTwizzlers Strawberry 16Ounce Bags Pack of 6a
ProductId B001GVISJM
ProfileName Charles Brown
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Delicious product
Text I can remember buying this candy as a kid and the quality hasnt dropped in all these years Still a superb product you wont be disappointed with
ProductId B001GVISJM
ProfileName Mares
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Twizzlers
Text I love this candy  After weight watchers I had to cut back but still have a craving for it
ProductId B001GVISJM
ProfileName S Cabanaugh jilly pepper
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Please sell these in Mexico
Text I have lived out of the US for over 7 yrs now and I so miss my Twizzlers  When I go back to visit or someone visits me I always stock up  All I can say is YUMbr Sell these in Mexico and you will have a faithful buyer more often than Im able to buy them right now
ProductId B001GVISJM
ProfileName Deborah S Linzer Cat Lady
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Twizzlers  Strawberry
Text Product received is as advertisedbr br a hrefhttpwwwamazoncomgpproductB001GVISJMTwizzlers Strawberry 16Ounce Bags Pack of 6a
ProductId B001GVISJM
ProfileName lady21
HelpfulnessNumerator 0
HelpfulnessDenominator 1
Score 1
Summary Nasty No flavor
Text The candy is just red  No flavor  Just  plan and chewy   I would never buy them again
ProductId B001GVISJM
ProfileName Heather Dube
HelpfulnessNumerator 0
HelpfulnessDenominator 1
Score 4
Summary Great Bargain for the Price
Text I was so glad Amazon carried these batteries  I have a hard time finding them elsewhere because they are such a unique size  I need them for my garage door openerbr Great deal for the price
ProductId B00144C10S
ProfileName DaisyH
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary YUMMY
Text I got this for my Mum who is not diabetic but needs to watch her sugar intake and my father who simply chooses to limit unnecessary sugar intake  shes the one with the sweet tooth  they both LOVED these toffees you would never guess that theyre sugarfree and its so great that you can eat them pretty much guilt free  i was so impressed that ive ordered some for myself w dark chocolate to take to the office so ill eat them instead of snacking on sugary sweetsbr These are just EXCELLENT
ProductId B0001PB9FY
ProfileName Canadian Fan
HelpfulnessNumerator 1
HelpfulnessDenominator 1
Score 5
Summary The Best Hot Sauce in the World
Text I dont know if its the cactus or the tequila or just the unique combination of ingredients but the flavour of this hot sauce makes it one of a kind  We picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away  When we realized that we simply couldnt find it anywhere in our city we were bummedbr br Now because of the magic of the internet we have a case of the sauce and are ecstatic because of itbr br If you love hot sauceI mean really love hot sauce but dont want a sauce that tastelessly burns your throat grab a bottle of Tequila Picante Gourmet de Inclan  Just realize that once you taste it you will never want to use any other saucebr br Thank you for the personal incredible service
ProductId B003F6UO7K
ProfileName Sherril
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Great machine
Text I have never been a huge coffee fan However my mother purchased this little machine and talked me into trying the Latte Macciato No Coffee Shop has a better one and I like most of the other products too as a usually noncoffee drinkerbr The little Dolche Guesto Machine is super easy to use and prepares a really good CoffeeLatteCappuccinoetc in less than a minute if water is heated up I would recommend the Dolce Gusto to anyone Too good for the price and Iam getting one myself 
ProductId B003F6UO7K
ProfileName Molly V Smith staral
HelpfulnessNumerator 0
HelpfulnessDenominator 1
Score 5
Summary THIS IS MY TASTE
Text This offer is a great price and a great taste thanks Amazon for selling this productbr br Staral
ProductId B001EO5QW8
ProfileName S Potter
HelpfulnessNumerator 19
HelpfulnessDenominator 19
Score 4
Summary Best of the Instant Oatmeals
Text McCanns Instant Oatmeal is great if you must have your oatmeal but can only scrape together two or three minutes to prepare it There is no escaping the fact however that even the best instant oatmeal is nowhere near as good as even a store brand of oatmeal requiring stovetop preparation  Still the McCanns is as good as it gets for instant oatmeal Its even better than the organic allnatural brands I have tried  All the varieties in the McCanns variety pack taste good  It can be prepared in the microwave or by adding boiling water so it is convenient in the extreme when time is an issuebr br McCanns use of actual cane sugar instead of high fructose corn syrup helped me decide to buy this product  Real sugar tastes better and is not as harmful as the other stuff One thing I do not like though is McCanns use of thickeners  Oats plus water plus heat should make a creamy tasty oatmeal without the need for guar gum But this is a convenience product  Maybe the guar gum is why after sitting in the bowl a while the instant McCanns becomes too thick and gluey
ProductId B001EO5QW8
ProfileName Megan Bad at Nicknames
HelpfulnessNumerator 13
HelpfulnessDenominator 13
Score 4
Summary Good Instant
Text This is a good instant oatmeal from the best oatmeal brand  It uses cane sugar instead of high fructouse corn syrup so not only does it have a better sweetness but some doctors now say that this form of sugar is better for you  Great on a cold morning when you dont have time to make McCanns Steel Cut Oats  The apple cinnamon is the best but the maple and brown sugar or the regular are good too  Plus they dont require doctoring to actually tell the three flavors apart
ProductId B001EO5QW8
ProfileName CorbyJames
HelpfulnessNumerator 9
HelpfulnessDenominator 9
Score 5
Summary Great Irish oatmeal for those in a hurry
Text Instant oatmeal can become soggy the minute the water hits the bowl McCanns Instant Oatmeal holds its texture has excellent flavor and is good for you all at the same time McCanns regular oat meal is excellent too but may take a bit longer to prepare than most have time for in the morning This is the best instant brand Ive ever eaten and a very close second to the noninstant varietybr br McCanns Instant Irish Oatmeal Variety Pack of Regular Apples  Cinnamon and Maple  Brown Sugar 10Count Boxes Pack of 6
ProductId B001EO5QW8
ProfileName T J Ryan
HelpfulnessNumerator 3
HelpfulnessDenominator 3
Score 4
Summary satisfying
Text McCanns Instant Irish Oatmeal Variety Pack of Regular Apples  Cinnamon and Maple  Brown Sugar 10Count Boxes Pack of 6br br Im a fan of the McCanns steelcut oats so I thought Id give the instant variety a try I found it to be a hardy meal not too sweet and great for folks like me postbariatric surgery who need food that is palatable easily digestible with fiber but wont make you bloat
ProductId B001EO5QW8
ProfileName Abby Chase gluten free
HelpfulnessNumerator 2
HelpfulnessDenominator 2
Score 5
Summary Love Gluten Free Oatmeal
Text For those of us with celiac disease this product is a lifesaver and what could be better than getting it at almost half the price of the grocery or health food store  I love McCanns instant oatmeal  all flavorsbr br Thanksbr Abby
ProductId B001EO5QW8
ProfileName Zardoz focuspuller
HelpfulnessNumerator 1
HelpfulnessDenominator 1
Score 5
Summary its oatmeal
Text What else do you need to know Oatmeal instant make it with a half cup of lowfat milk and add raisinsnuke for 90 seconds More expensive than Kroger store brand oatmeal and maybe a little tastier or better texture or something Its still just oatmeal Mmm convenient
ProductId B001EO5QW8
ProfileName JERRY REITH
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 4
Summary GOOD WAY TO START THE DAY
Text I WAS VISITING MY FRIEND NATE THE OTHER MORNING FOR COFFEE  HE CAME OUT OF HIS STORAGE ROOM WITH  A PACKET OF McCANNS INSTANT IRISH OATMEAL  HE SUGGESTED THAT I TRY IT FOR MY OWN USE IN MY STASH  SOMETIMES NATE DOSE NOT GIVE YOU A CHANCE TO SAY NO  SO I ENDED UP TRYING THE APPLE AND CINN  FOUND IT TO BE VERY TASTEFULL WHEN MADE WITH WATER OR POWDERED MILK  IT GOES GOOD WITH OJ AND COFFEE AND A SLICE OF TOAST AND YOUR READY TO TAKE ON THE WORLDOR THE DAY AT LEAST  JERRY REITH
ProductId B001EO5QW8
ProfileName kYpondman
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Wifes favorite Breakfast
Text I ordered this for my wife as it was reccomended by our daughter  She has this almost every morning and likes all flavors  Shes happy Im happybr a hrefhttpwwwamazoncomgpproductB001EO5QW8McCANNS Instant Irish Oatmeal Variety Pack of Regular Apples  Cinnamon and Maple  Brown Sugar 10Count Boxes Pack of 6a
ProductId B001EO5QW8
ProfileName Garrett
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Why wouldnt you buy oatmeal from Mcanns Tastes great
Text The variety packs taste greatbr br I have them every morning At 030 cents per meal I dont understand why everyone on earth isnt buying this stuff upbr br Maple and brown sugar is terrific followed by apples and cinnamon followed by regular You dont get tired of the same ole thing and they taste greatbr br I just boil water from a small pot empty the packet or 2 in a bowl pour in boiling water and watch it expand to 2x its sizebr br Taste really good and takes minutes to preparebr br Not sure why everyone on earth isnt this Convenient healthy very quick excellent quality and extremely cheap
ProductId B001EO5QW8
ProfileName Dick Baldwin christobe
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Oatmeal For Oatmeal Lovers
Text McCanns makes oatmeal for every oatmeal connoisseur whether one likes it from the raw pellet state that cooks for half an hour to the sloth addled instant which can be done in the microwave for under three minutes Its all good thats for sure and the beauty of the instant variety is that it is available in different flavors as well as regularbr   This variety pack allows different tastes to be explored as well as giving you a chance to experience the difference between McCanns and other wellknown oatmeals What I personally like about McCanns is that it cooks up thicker and with more body than the top brand here in America The Apples  Cinnamon though tends to be a little liquidy so you may want to experiment with the amount of water you add In my 1300watt microwave the oatmeal cooks up in about one minute and twentyseven seconds so you should also watch that to get a handle on how much time and water to usebr   The only bad thing  if you can consider it a bad thing  about this offering is that you have to buy in lot so youll end up with six tencount boxes This is good if you have a whole family of oatmealeaters but if youre a single person alone  well love oatmeal
ProductId B001EO5QW8
ProfileName Roger Pugliese
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary FoodGreat
Text I have McCanns Oatmeal every morning and by ordering it from Amazon I am able to save almost 300 per boxbr It is a great product Tastes great and very healthy
ProductId B001EO5QW8
ProfileName Mother of 9
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Good Hot Breakfast
