Text,Hybrid_Classification,Genuine_Fake,Precision,Recall,F1 Score,Accuracy
0.0 0.58 0.42 0.4404 summari good qualiti dog food,Positive,Fake,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 1.0 0.0 0.0 summari advertis,Neutral,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 0.339 0.661 0.5994 summari delight say,Neutral,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 1.0 0.0 0.0 summari cough medicin,Neutral,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 0.328 0.672 0.6249 summari great taffi,Positive,Fake,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 0.417 0.583 0.4215 summari nice taffi,Positive,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 0.3 0.7 0.7906 summari great good expens brand,Positive,Fake,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 1.0 0.0 0.0 summari wonder tasti taffi,Neutral,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 0.37 0.63 0.5267 summari yay barley,Neutral,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 1.0 0.0 0.0 summari healthi dog food,Neutral,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 0.488 0.512 0.6369 summari best hot sauc world,Positive,Fake,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 0.458 0.542 0.7964 summari cat love diet food better regular food,Positive,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 0.635 0.365 0.3182 summari cat fan new food,Positive,Fake,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 0.465 0.535 0.3182 summari fresh greasi,Positive,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 1.0 0.0 0.0 summari strawberri twizzler yummi,Neutral,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 1.0 0.0 0.0 summari lot twizzler expect,Neutral,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.608 0.392 0.0 -0.4767 summari poor tast,Negative,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 0.192 0.808 0.6369 summari love,Positive,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 0.22 0.78 0.7964 summari great sweet candi,Positive,Fake,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 1.0 0.0 0.0 summari home deliv twizler,Neutral,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 0.465 0.535 0.3182 summari alway fresh,Positive,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 1.0 0.0 0.0 summari twizzler,Neutral,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 1.0 0.0 0.0 summari delici product,Neutral,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 1.0 0.0 0.0 summari twizzler,Neutral,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 1.0 0.0 0.0 summari pleas sell mexico,Neutral,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 1.0 0.0 0.0 summari twizzler strawberri,Neutral,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 1.0 0.0 0.0 summari nasti flavor,Neutral,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 0.253 0.747 0.7096 summari great bargain price,Positive,Fake,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 1.0 0.0 0.0 summari yummi,Neutral,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
