neg,neu,pos,compound,Text,Processed_Text
0.0,1.0,0.0,0.0,productid b07jw9h4j1,productid bjwhj
0.0,0.946,0.054,0.0516,productnam wayona nylon braid usb lightn fast charg data sync cabl compat iphon 13 1211 x 8 7 6 5 ipad air pro mini 3 ft pack 1 grey,productnam wayona nylon braid usb lightn fast charg data sync cabl compat iphon x ipad air pro mini ft pack grey
0.0,1.0,0.0,0.0,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc
0.0,1.0,0.0,0.0,rate 42,rate
0.0,1.0,0.0,0.0,ratingcount 24269,ratingcount
0.026,0.851,0.123,0.8519,aboutproduct high compat compat iphon 12 11 xxsmaxxr iphon 88 plusiphon 77 plusiphon 6s6 plusiphon 66 plusiphon 55s5cseipad proipad air 12ipad mini 123ipod nano7ipod touch appl devicesfast chargedata sync charg sync simultan rapid speed compat charg adaptor multiport charg station power bankdur durabl nylon braid design premium aluminum hous toughen nylon fiber wound tightli around cord lend superior durabl ad bit flexibilityhigh secur level design fulli protect devic damag excess currentcopp core thickmultilay shield antiinterfer protect circuit equipmentwarranti 12 month warranti friendli custom servic ensur longtim enjoy purchas meet question problem pleas dont hesit contact us,aboutproduct high compat compat iphon xxsmaxxr iphon plusiphon plusiphon s plusiphon plusiphon scseipad proipad air ipad mini ipod nanoipod touch appl devicesfast chargedata sync charg sync simultan rapid speed compat charg adaptor multiport charg station power bankdur durabl nylon braid design premium aluminum hous toughen nylon fiber wound tightli around cord lend superior durabl ad bit flexibilityhigh secur level design fulli protect devic damag excess currentcopp core thickmultilay shield antiinterfer protect circuit equipmentwarranti month warranti friendli custom servic ensur longtim enjoy purchas meet question problem pleas dont hesit contact us
0.0,1.0,0.0,0.0,productlink httpswwwamazoninwayonabraidedwn3lg1syncingchargingdpb07jw9h4j1refsr11qid1672909124selectronicssr11,productlink httpswwwamazoninwayonabraidedwnlgsyncingchargingdpbjwhjrefsrqidselectronicssr
0.0,1.0,0.0,0.0,productid b098ns6pvg,productid bnspvg
0.0,1.0,0.0,0.0,productnam ambran unbreak 60w 3a fast charg 15m braid type c cabl smartphon tablet laptop type c devic pd technolog 480mbp data sync quick charg 30 rct15a black,productnam ambran unbreak w a fast charg m braid type c cabl smartphon tablet laptop type c devic pd technolog mbp data sync quick charg rcta black
0.0,1.0,0.0,0.0,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc
0.0,1.0,0.0,0.0,rate 40,rate
0.0,1.0,0.0,0.0,ratingcount 43994,ratingcount
0.059,0.855,0.086,0.4367,aboutproduct compat type c enabl devic android smartphon mi samsung oppo vivo realm oneplu etc tablet laptop macbook chromebook etcsupport quick charg 2030unbreak made special braid outer rug interior bind ultradur cabl wont affect daili rough usageid length ideal length 15 meter neither short like typic 1meter cabl long like 2meter cablesupport maximum 3a fast charg 480 mbp data transfer speed6 month manufactur warranti date purchas,aboutproduct compat type c enabl devic android smartphon mi samsung oppo vivo realm oneplu etc tablet laptop macbook chromebook etcsupport quick charg unbreak made special braid outer rug interior bind ultradur cabl wont affect daili rough usageid length ideal length meter neither short like typic meter cabl long like meter cablesupport maximum a fast charg mbp data transfer speed month manufactur warranti date purchas
0.0,1.0,0.0,0.0,productlink httpswwwamazoninambraneunbreakablechargingbraidedcabledpb098ns6pvgrefsr12qid1672909124selectronicssr12,productlink httpswwwamazoninambraneunbreakablechargingbraidedcabledpbnspvgrefsrqidselectronicssr
0.0,1.0,0.0,0.0,productid b096msw6ct,productid bmswct
0.0,1.0,0.0,0.0,productnam sounc fast phone charg cabl data sync usb cabl compat iphon 13 1211 x 8 7 6 5 ipad air pro mini io devic,productnam sounc fast phone charg cabl data sync usb cabl compat iphon x ipad air pro mini io devic
0.0,1.0,0.0,0.0,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc
0.0,1.0,0.0,0.0,rate 39,rate
0.0,1.0,0.0,0.0,ratingcount 7928,ratingcount
