Stopword Removed Text
ProductId B001E4KFG0
ProfileName delmartian
HelpfulnessNumerator 1
HelpfulnessDenominator 1
Score 5
Summary Good Quality Dog Food
Text bought several Vitality canned dog food products found good quality product looks like stew processed meat smells better Labrador finicky appreciates product better
ProductId B00813GRG4
ProfileName dll pa
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 1
Summary Advertised
Text Product arrived labeled Jumbo Salted Peanutsthe peanuts actually small sized unsalted sure error vendor intended represent product Jumbo
ProductId B000LQOCH0
ProfileName Natalia Corres Natalia Corres
HelpfulnessNumerator 1
HelpfulnessDenominator 1
Score 4
Summary Delight says
Text confection around centuries light pillowy citrus gelatin nuts case Filberts cut tiny squares liberally coated powdered sugar tiny mouthful heaven chewy flavorful highly recommend yummy treat familiar story CS Lewis Lion Witch Wardrobe treat seduces Edmund selling Brother Sisters Witch
ProductId B000UA0QIQ
ProfileName Karl
HelpfulnessNumerator 3
HelpfulnessDenominator 3
Score 2
Summary Cough Medicine
Text looking secret ingredient Robitussin believe found got addition Root Beer Extract ordered good made cherry soda flavor medicinal
ProductId B006K2ZZ7K
ProfileName Michael Bigham Wassir
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Great taffy
Text Great taffy great price wide assortment yummy taffy Delivery quick taffy lover deal
ProductId B006K2ZZ7K
ProfileName Twoapennything
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 4
Summary Nice Taffy
Text got wild hair taffy ordered five pound bag taffy enjoyable many flavors watermelon root beer melon peppermint grape etc complaint bit much redblack licoriceflavored pieces particular favorites kids husband lasted two weeks would recommend brand taffy delightful treat
ProductId B006K2ZZ7K
ProfileName David C Sullivan
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Great good expensive brands
Text saltwater taffy great flavors soft chewy candy individually wrapped well None candies stuck together happen expensive version Fralingers Would highly recommend candy served beachthemed party everyone loved
ProductId B006K2ZZ7K
ProfileName Pamela G Williams
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Wonderful tasty taffy
Text taffy good soft chewy flavors amazing would definitely recommend buying satisfying
ProductId B000E7L2R4
ProfileName R James
HelpfulnessNumerator 1
HelpfulnessDenominator 1
Score 5
Summary Yay Barley
Text Right Im mostly sprouting cats eat grass love rotate around Wheatgrass Rye
ProductId B00171APVA
ProfileName Carol Reed
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Healthy Dog Food
Text healthy dog food Good digestion Also good small puppies dog eats required amount every feeding
ProductId B0001PB9FE
ProfileName Canadian Fan
HelpfulnessNumerator 1
HelpfulnessDenominator 1
Score 5
Summary Best Hot Sauce World
Text dont know cactus tequila unique combination ingredients flavour hot sauce makes one kind picked bottle trip brought back home us totally blown away realized simply couldnt find anywhere city bummedbr br magic internet case sauce ecstatic itbr br love hot sauceI mean really love hot sauce dont want sauce tastelessly burns throat grab bottle Tequila Picante Gourmet de Inclan realize taste never want use saucebr br Thank personal incredible service
ProductId B0009XLVG0
ProfileName Poeng SparkyGoHome
HelpfulnessNumerator 4
HelpfulnessDenominator 4
Score 5
Summary cats LOVE diet food better regular food
Text One boys needed lose weight didnt put food floor chubby guy proteinrich byproduct food higher skinny boy jump higher food sits going stale really go food chubby boy losing ounce week
ProductId B0009XLVG0
ProfileName LT
HelpfulnessNumerator 1
HelpfulnessDenominator 1
Score 1
Summary Cats Fans New Food
Text cats happily eating Felidae Platinum two years got new bag shape food different tried new food first put bowls bowls sit full kitties touch food Ive noticed similar reviews related formula changes past Unfortunately need find new food cats eat
ProductId B001GVISJM
ProfileName willie roadie
HelpfulnessNumerator 2
HelpfulnessDenominator 2
Score 4
Summary fresh greasy
Text good flavor came securely packed fresh delicious love Twizzlers
ProductId B001GVISJM
ProfileName Lynrie Oh HELL
HelpfulnessNumerator 4
HelpfulnessDenominator 5
Score 5
Summary Strawberry Twizzlers Yummy
Text Strawberry Twizzlers guilty pleasure yummy Six pounds around son
ProductId B001GVISJM
ProfileName Brian Lee
HelpfulnessNumerator 4
HelpfulnessDenominator 5
Score 5
Summary Lots twizzlers expect
Text daughter loves twizzlers shipment six pounds really hit spot exactly would expectsix packages strawberry twizzlers
ProductId B001GVISJM
ProfileName Erica Neathery
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 2
Summary poor taste
Text love eating good watching TV looking movies sweet like transfer zip lock baggie stay fresh take time eating
ProductId B001GVISJM
ProfileName Becca
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Love
Text satisfied Twizzler purchase shared others enjoyed definitely ordering
ProductId B001GVISJM
ProfileName Wolfee1
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary GREAT SWEET CANDY
Text Twizzlers Strawberry childhood favorite candy made Lancaster Pennsylvania Candies Inc one oldest confectionery Firms United States Subsidiary Hershey Company Company established 1845 Young Smylie also make Apple Licorice Twists Green Color Blue Raspberry Licorice Twists like allbr br keep dry cool place recommended put fridge According Guinness Book Records longest Licorice Twist ever made measured 1200 Feet 370 weighted 100 Pounds 45 Kg made Candies Inc RecordBreaking Twist became Guinness World Record July 19 1998 Product Kosher Thank
ProductId B001GVISJM
ProfileName Greg
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Home delivered twizlers
Text Candy delivered fast purchased reasonable price home bound unable get store perfect
ProductId B001GVISJM
ProfileName mom2emma
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Always fresh
Text husband Twizzlers addict Weve bought many times Amazon government employees living overseas cant get country assigned Theyve always fresh tasty packed well arrive timely manner
ProductId B001GVISJM
ProfileName Tammy Anderson
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary TWIZZLERS
Text bought husband currently overseas loves apparently staff likes alsobr generous amounts Twizzlers 16ounce bag well worth price hrefhttpwwwamazoncomgpproductB001GVISJMTwizzlers Strawberry 16Ounce Bags Pack 6a
ProductId B001GVISJM
ProfileName Charles Brown
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Delicious product
Text remember buying candy kid quality hasnt dropped years Still superb product wont disappointed
ProductId B001GVISJM
ProfileName Mares
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Twizzlers
Text love candy weight watchers cut back still craving
ProductId B001GVISJM
ProfileName Cabanaugh jilly pepper
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Please sell Mexico
Text lived US 7 yrs miss Twizzlers go back visit someone visits always stock say YUMbr Sell Mexico faithful buyer often Im able buy right
ProductId B001GVISJM
ProfileName Deborah Linzer Cat Lady
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Twizzlers Strawberry
Text Product received advertisedbr br hrefhttpwwwamazoncomgpproductB001GVISJMTwizzlers Strawberry 16Ounce Bags Pack 6a
ProductId B001GVISJM
ProfileName lady21
HelpfulnessNumerator 0
HelpfulnessDenominator 1
Score 1
Summary Nasty flavor
Text candy red flavor plan chewy would never buy
ProductId B001GVISJM
ProfileName Heather Dube
HelpfulnessNumerator 0
HelpfulnessDenominator 1
Score 4
Summary Great Bargain Price
Text glad Amazon carried batteries hard time finding elsewhere unique size need garage door openerbr Great deal price
ProductId B00144C10S
ProfileName DaisyH
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary YUMMY
Text got Mum diabetic needs watch sugar intake father simply chooses limit unnecessary sugar intake shes one sweet tooth LOVED toffees would never guess theyre sugarfree great eat pretty much guilt free impressed ive ordered w dark chocolate take office ill eat instead snacking sugary sweetsbr EXCELLENT
ProductId B0001PB9FY
ProfileName Canadian Fan
HelpfulnessNumerator 1
HelpfulnessDenominator 1
Score 5
Summary Best Hot Sauce World
Text dont know cactus tequila unique combination ingredients flavour hot sauce makes one kind picked bottle trip brought back home us totally blown away realized simply couldnt find anywhere city bummedbr br magic internet case sauce ecstatic itbr br love hot sauceI mean really love hot sauce dont want sauce tastelessly burns throat grab bottle Tequila Picante Gourmet de Inclan realize taste never want use saucebr br Thank personal incredible service
ProductId B003F6UO7K
ProfileName Sherril
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Great machine
Text never huge coffee fan However mother purchased little machine talked trying Latte Macciato Coffee Shop better one like products usually noncoffee drinkerbr little Dolche Guesto Machine super easy use prepares really good CoffeeLatteCappuccinoetc less minute water heated would recommend Dolce Gusto anyone good price Iam getting one
ProductId B003F6UO7K
ProfileName Molly V Smith staral
HelpfulnessNumerator 0
HelpfulnessDenominator 1
Score 5
Summary TASTE
Text offer great price great taste thanks Amazon selling productbr br Staral
ProductId B001EO5QW8
ProfileName Potter
HelpfulnessNumerator 19
HelpfulnessDenominator 19
Score 4
Summary Best Instant Oatmeals
Text McCanns Instant Oatmeal great must oatmeal scrape together two three minutes prepare escaping fact however even best instant oatmeal nowhere near good even store brand oatmeal requiring stovetop preparation Still McCanns good gets instant oatmeal even better organic allnatural brands tried varieties McCanns variety pack taste good prepared microwave adding boiling water convenient extreme time issuebr br McCanns use actual cane sugar instead high fructose corn syrup helped decide buy product Real sugar tastes better harmful stuff One thing like though McCanns use thickeners Oats plus water plus heat make creamy tasty oatmeal without need guar gum convenience product Maybe guar gum sitting bowl instant McCanns becomes thick gluey
ProductId B001EO5QW8
ProfileName Megan Bad Nicknames
HelpfulnessNumerator 13
HelpfulnessDenominator 13
Score 4
Summary Good Instant
Text good instant oatmeal best oatmeal brand uses cane sugar instead high fructouse corn syrup better sweetness doctors say form sugar better Great cold morning dont time make McCanns Steel Cut Oats apple cinnamon best maple brown sugar regular good Plus dont require doctoring actually tell three flavors apart
ProductId B001EO5QW8
ProfileName CorbyJames
HelpfulnessNumerator 9
HelpfulnessDenominator 9
Score 5
Summary Great Irish oatmeal hurry
Text Instant oatmeal become soggy minute water hits bowl McCanns Instant Oatmeal holds texture excellent flavor good time McCanns regular oat meal excellent may take bit longer prepare time morning best instant brand Ive ever eaten close second noninstant varietybr br McCanns Instant Irish Oatmeal Variety Pack Regular Apples Cinnamon Maple Brown Sugar 10Count Boxes Pack 6
ProductId B001EO5QW8
ProfileName J Ryan
HelpfulnessNumerator 3
HelpfulnessDenominator 3
Score 4
Summary satisfying
Text McCanns Instant Irish Oatmeal Variety Pack Regular Apples Cinnamon Maple Brown Sugar 10Count Boxes Pack 6br br Im fan McCanns steelcut oats thought Id give instant variety try found hardy meal sweet great folks like postbariatric surgery need food palatable easily digestible fiber wont make bloat
ProductId B001EO5QW8
ProfileName Abby Chase gluten free
HelpfulnessNumerator 2
HelpfulnessDenominator 2
Score 5
Summary Love Gluten Free Oatmeal
Text us celiac disease product lifesaver could better getting almost half price grocery health food store love McCanns instant oatmeal flavorsbr br Thanksbr Abby
ProductId B001EO5QW8
ProfileName Zardoz focuspuller
HelpfulnessNumerator 1
HelpfulnessDenominator 1
Score 5
Summary oatmeal
Text else need know Oatmeal instant make half cup lowfat milk add raisinsnuke 90 seconds expensive Kroger store brand oatmeal maybe little tastier better texture something still oatmeal Mmm convenient
ProductId B001EO5QW8
ProfileName JERRY REITH
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 4
Summary GOOD WAY START DAY
Text VISITING FRIEND NATE MORNING COFFEE CAME STORAGE ROOM PACKET McCANNS INSTANT IRISH OATMEAL SUGGESTED TRY USE STASH SOMETIMES NATE DOSE GIVE CHANCE SAY ENDED TRYING APPLE CINN FOUND TASTEFULL MADE WATER POWDERED MILK GOES GOOD OJ COFFEE SLICE TOAST READY TAKE WORLDOR DAY LEAST JERRY REITH
ProductId B001EO5QW8
ProfileName kYpondman
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Wifes favorite Breakfast
Text ordered wife reccomended daughter almost every morning likes flavors Shes happy Im happybr hrefhttpwwwamazoncomgpproductB001EO5QW8McCANNS Instant Irish Oatmeal Variety Pack Regular Apples Cinnamon Maple Brown Sugar 10Count Boxes Pack 6a
ProductId B001EO5QW8
ProfileName Garrett
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary wouldnt buy oatmeal Mcanns Tastes great
Text variety packs taste greatbr br every morning 030 cents per meal dont understand everyone earth isnt buying stuff upbr br Maple brown sugar terrific followed apples cinnamon followed regular dont get tired ole thing taste greatbr br boil water small pot empty packet 2 bowl pour boiling water watch expand 2x sizebr br Taste really good takes minutes preparebr br sure everyone earth isnt Convenient healthy quick excellent quality extremely cheap
ProductId B001EO5QW8
ProfileName Dick Baldwin christobe
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Oatmeal Oatmeal Lovers
Text McCanns makes oatmeal every oatmeal connoisseur whether one likes raw pellet state cooks half hour sloth addled instant done microwave three minutes good thats sure beauty instant variety available different flavors well regularbr variety pack allows different tastes explored well giving chance experience difference McCanns wellknown oatmeals personally like McCanns cooks thicker body top brand America Apples Cinnamon though tends little liquidy may want experiment amount water add 1300watt microwave oatmeal cooks one minute twentyseven seconds also watch get handle much time water usebr bad thing consider bad thing offering buy lot youll end six tencount boxes good whole family oatmealeaters youre single person alone well love oatmeal
ProductId B001EO5QW8
ProfileName Roger Pugliese
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary FoodGreat
Text McCanns Oatmeal every morning ordering Amazon able save almost 300 per boxbr great product Tastes great healthy
ProductId B001EO5QW8
ProfileName Mother 9
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Good Hot Breakfast
Text McCanns Oatmeal good quality choice favorite Apples Cinnamon find none overly sugary good hot breakfast 2 minutes excellent
ProductId B001EO5QW8
ProfileName Leschke
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Great taste convenience
Text really like McCanns steel cut oats find dont cook oftenbr tastes much better grocery store brands convenientbr Anything keeps eating oatmeal regularly good thing
ProductId B001EO5QW8
ProfileName K Freel
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 3
Summary Hearty Oatmeal
Text seems little wholesome supermarket brands somewhat mushy doesnt quite much flavor either didnt pass muster kids probably wont buy
ProductId B001EO5QW8
ProfileName grumpyrainbow
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary good
Text Good oatmeal like apple cinnamon best Though wouldnt follow directions package since always comes soupy taste could since like oatmeal really thick add milk top
ProductId B001EO5QW8
ProfileName kbogo shoelover
HelpfulnessNumerator 1
HelpfulnessDenominator 2
Score 3
Summary Mushy
Text flavors good However see differce Oaker Oats brand mushy
ProductId B001EO5QW8
ProfileName knitty pants
HelpfulnessNumerator 1
HelpfulnessDenominator 2
Score 4
Summary good next time wont order Variety Pack
Text really like Maple Brown Sugar flavor regular fine brown sugar added Apples Cinnamon flavor OK quick easy satisfying breakfast Ill order brand variety Ill get Maple Brown Sugar
