Tokenized POS Text
"[('ProductId', 'NNP'), ('B001E4KFG0', 'NNP')]"
"[('ProfileName', 'NN'), ('delmartian', 'JJ')]"
"[('HelpfulnessNumerator', 'NN'), ('1', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('1', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('Good', 'NNP'), ('Quality', 'NNP'), ('Dog', 'NNP'), ('Food', 'NNP')]"
"[('Text', 'NNP'), ('bought', 'VBD'), ('several', 'JJ'), ('Vitality', 'NNP'), ('canned', 'VBD'), ('dog', 'RP'), ('food', 'NN'), ('products', 'NNS'), ('found', 'VBD'), ('good', 'JJ'), ('quality', 'NN'), ('product', 'NN'), ('looks', 'VBZ'), ('like', 'IN'), ('stew', 'NN'), ('processed', 'VBN'), ('meat', 'NN'), ('smells', 'NNS'), ('better', 'RBR'), ('Labrador', 'NNP'), ('finicky', 'JJ'), ('appreciates', 'NNS'), ('product', 'NN'), ('better', 'RBR')]"
"[('ProductId', 'NNP'), ('B00813GRG4', 'NNP')]"
"[('ProfileName', 'NNP'), ('dll', 'VBZ'), ('pa', 'NN')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('0', 'CD')]"
"[('Score', 'RB'), ('1', 'CD')]"
"[('Summary', 'NNP'), ('Advertised', 'VBD')]"
"[('Text', 'JJ'), ('Product', 'NNP'), ('arrived', 'VBD'), ('labeled', 'JJ'), ('Jumbo', 'NNP'), ('Salted', 'NNP'), ('Peanutsthe', 'NNP'), ('peanuts', 'NNS'), ('actually', 'RB'), ('small', 'JJ'), ('sized', 'VBN'), ('unsalted', 'JJ'), ('sure', 'JJ'), ('error', 'NN'), ('vendor', 'NN'), ('intended', 'VBN'), ('represent', 'JJ'), ('product', 'NN'), ('Jumbo', 'NNP')]"
"[('ProductId', 'NNP'), ('B000LQOCH0', 'NNP')]"
"[('ProfileName', 'NNP'), ('Natalia', 'NNP'), ('Corres', 'NNP'), ('Natalia', 'NNP'), ('Corres', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('1', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('1', 'CD')]"
"[('Score', 'RB'), ('4', 'CD')]"
"[('Summary', 'NNP'), ('Delight', 'NNP'), ('says', 'VBZ')]"
"[('Text', 'JJ'), ('confection', 'NN'), ('around', 'IN'), ('centuries', 'NNS'), ('light', 'JJ'), ('pillowy', 'NNS'), ('citrus', 'VBP'), ('gelatin', 'NN'), ('nuts', 'NNS'), ('case', 'NN'), ('Filberts', 'NNP'), ('cut', 'VBD'), ('tiny', 'JJ'), ('squares', 'NNS'), ('liberally', 'RB'), ('coated', 'VBN'), ('powdered', 'JJ'), ('sugar', 'NN'), ('tiny', 'JJ'), ('mouthful', 'JJ'), ('heaven', 'NN'), ('chewy', 'NNS'), ('flavorful', 'JJ'), ('highly', 'RB'), ('recommend', 'VBP'), ('yummy', 'JJ'), ('treat', 'NN'), ('familiar', 'JJ'), ('story', 'NN'), ('CS', 'NNP'), ('Lewis', 'NNP'), ('Lion', 'NNP'), ('Witch', 'NNP'), ('Wardrobe', 'NNP'), ('treat', 'NN'), ('seduces', 'NNS'), ('Edmund', 'NNP'), ('selling', 'VBG'), ('Brother', 'NNP'), ('Sisters', 'NNP'), ('Witch', 'NNP')]"
"[('ProductId', 'NNP'), ('B000UA0QIQ', 'NNP')]"
"[('ProfileName', 'NN'), ('Karl', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('3', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('3', 'CD')]"
"[('Score', 'RB'), ('2', 'CD')]"
